atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_G,scout_FF,scout_I,scout_FC,scout_FS,scout_A,scout_FD,scout_FT,scout_DE,scout_GS
100842,Ruan,CAM,Zagueiro,9.5,True,1.0,1.0,,,,,,,,,
101314,Ademir,BAH,Atacante,11.7,True,2.0,1.0,1.0,1.0,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,
104783,Acevedo,BAH,Meia,2.5,True,1.0,,1.0,,1.0,1.0,,,,,
105990,Santiago Mingo,BAH,Zagueiro,0.8,True,,,1.0,,,,,,,,
106822,Rodrigo Nestor,BAH,Meia,9.4,True,3.0,,1.0,,3.0,,1.0,,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,,,,
107554,Natanael,CAM,Lateral,1.9,True,,,,1.0,,4.0,,,,,
109401,Erick Pulga,BAH,Atacante,1.4,True,,,,,1.0,1.0,,1.0,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,,,
115537,Marcos Victor,BAH,Zagueiro,0.0,True,,,,,,,,,,,
116034,Victor Hugo,CAM,Meia,0.5,True,,,,,,1.0,,,,,
123717,Zé Guilherme,BAH,Lateral,0.0,True,,,,,,,,,,,
126189,Tomás Pérez,CAM,Meia,-0.3,True,,,,,1.0,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,
132412,Román Gómez,BAH,Lateral,5.8,True,3.0,,1.0,,,1.0,,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,
68996,Willian José,BAH,Atacante,3.0,True,,,,,,,,,1.0,,
72294,Everson,CAM,Goleiro,0.3,True,,,,,,,,,,1.0,1.0
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,
72460,Bernard,CAM,Meia,7.4,True,2.0,,,,2.0,,1.0,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,
91101,Ronaldo,BAH,Goleiro,0.3,True,,,,,,,,,,1.0,1.0
91772,David Duarte,BAH,Zagueiro,-0.3,True,,,,,1.0,,,,,,
92087,Lyanco,CAM,Zagueiro,1.5,True,1.0,,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,2.44,True,,,,,,,,,,,
94154,Maycon,CAM,Meia,1.5,True,1.0,,,,,,,,,,
95362,Cassierra,CAM,Atacante,0.8,True,,,1.0,,,,,,,,
96591,Renan Lodi,CAM,Lateral,2.6,True,,,2.0,,,2.0,,,,,
97341,Rogério Ceni,BAH,Técnico,3.4,True,,,,,,,,,,,
98022,Erick,BAH,Meia,2.8,True,1.0,,2.0,,1.0,,,,,,
98909,Cuello,CAM,Atacante,1.1,True,,,,1.0,,,,1.0,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,
